ExpCode,Condition,n colonies [ES phenotye],n colonies [partial differentiation phenotye],n colonies [full differentiation phenotye],Total number of colonies, % [ES phenotye],% [partial differentiation phenotye],% [full differentiation phenotye],Morphology Value [((C + D*2 + E*3)/F)-1],Averaged values,Corresponding Images,Randomization code
E116,U+S,12,9,0,21,57.1,42.9,0.0,0.4286,,E116_D6_2i_UO+SU_10x_2.jpg,0000293_47.jpg
E116,U+S,19,5,0,24,79.2,20.8,0.0,0.2083,,E116_D6_2i_UO+SU_10x_3.jpg,0000391_48.jpg
E133,U+S,16,5,0,21,76.2,23.8,0.0,0.2381,0.3142,E133_D3P37_D6_2i_U+S_10x_1.tif,000064_121.tif
E133,U+S,18,15,0,33,54.5,45.5,0.0,0.4545,,E133_D3P37_D6_2i_U+S_10x_2.tif,000417_122.tif
E133,U+S,18,6,0,24,75.0,25.0,0.0,0.2500,,E133_D3P37_D6_2i_U+S_10x_3.tif,000302_123.tif
E136,U+S,20,4,0,24,83.3,16.7,0.0,0.1667,0.3228,E136_D6_2i_U+S_10x_1.tif,000145_205.tif
E136,U+S,13,5,0,18,72.2,27.8,0.0,0.2778,,E136_D6_2i_U+S_10x_2.tif,000407_206.tif
E136,U+S,11,9,1,21,52.4,42.9,4.8,0.5238,,E136_D6_2i_U+S_10x_3.tif,000184_207.tif
E140,U+S,14,16,0,30,46.7,53.3,0.0,0.5333,0.5262,E140_D6_2i_U+S_19NOV17_10x_1.tif,000229_292.tif
E140,U+S,10,19,0,29,34.5,65.5,0.0,0.6552,,E140_D6_2i_U+S_19NOV17_10x_2.tif,000427_293.tif
E140,U+S,25,16,0,41,61.0,39.0,0.0,0.3902,,E140_D6_2i_U+S_19NOV17_10x_3.tif,000435_294.tif
E142,U+S,15,13,0,28,53.6,46.4,0.0,0.4643,0.4161,E142_D6_2i_U+S_30JAN18_10x_1.tif,000114_391.tif
E142,U+S,31,8,0,39,79.5,20.5,0.0,0.2051,,E142_D6_2i_U+S_30JAN18_10x_2.tif,000229_392.tif
E142,U+S,16,22,0,38,42.1,57.9,0.0,0.5789,,E142_D6_2i_U+S_30JAN18_10x_3.tif,000153_393.tif
